"","Entry","Name","Formula","Exact_Mass"
"1","C19446","Methylchloride","CH3Cl","49.9923"
"2","C19359","Chloramine","NH2Cl","50.9876"
"3","C06268","Chromium;","Cr","51.9405"
"4","C19161","Chromium(VI);","Cr","51.9405"
"5","C19368","Chromium(III);","Cr","51.9405"
"6","C20294","Chromium(V);","Cr","51.9405"
"7","C20295","Chromium(IV);","Cr","51.9405"
"8","C19697","Hypochlorousacid;","HClO","51.9716"
"9","C01998","Acrylonitrile;","C3H3N","53.0265"
"10","C12538","Ammoniumchloride","NH4Cl","53.0032"
"11","C05985","2-Propynal;","C3H2O","54.0106"
"12","C16450","1,3-Butadiene","C4H6","54.047"
"13","C00034","Manganese","Mn","54.9381"
"14","C19610","Manganese(2+);","Mn","54.9381"
"15","C19611","Manganese(3+);","Mn","54.9381"
"16","C05354","Cyclopropylcarbinylcation","C4H7","55.0548"
"17","C00023","Iron","Fe","55.9349"
"18","C14818","Fe2+;","Fe","55.9349"
"19","C14819","Fe3+;","Fe","55.9349"
"20","C13140","Calciumoxide;","CaO","55.9575"
"21","C12568","Potassiumhydroxide","KOH","55.9664"
"22","C17732","Magnesiumperoxide","MgO2","55.9749"
"23","C01471","Acrolein;","C3H4O","56.0262"
"24","C05986","2-Propyn-1-ol;","C3H4O","56.0262"
"25","C14150","Cyclopropylamine","C3H7N","57.0578"
"26","C19257","2-Methylaziridine;","C3H7N","57.0578"
"27","C00291","Nickel","Ni","57.9353"
"28","C19609","Nickel(2+);","Ni","57.9353"
"29","C13563","Sodiumchloride","NaCl","57.9586"
"30","C07876","Magnesiumhydroxide;","Mg(OH)2","57.9905"
"31","C00207","Acetone;","C3H6O","58.0419"
"32","C00479","Propanal;","C3H6O","58.0419"
"33","C02001","Allylalcohol;","C3H6O","58.0419"
"34","C11506","(2R)-1,2-Epoxypropane","C3H6O","58.0419"
"35","C11507","(S)-1,2-Epoxypropane","C3H6O","58.0419"
"36","C14448","Glyoxal;","C2H2O2","58.0055"
"37","C15508","1,2-Epoxypropane;","C3H6O","58.0419"
"38","C00175","Cobaltion;","Co","58.9332"
"39","C19171","Cobalt","Co","58.9332"
"40","C01755","Thiocyanate;","CHNS","58.983"
"41","C00565","Trimethylamine;","C3H9N","59.0735"
"42","C01812","Haloacetate","C2H3O2X","59.0133"
"43","C06244","Acetamide","C2H5NO","59.0371"
"44","C06735","Aminoacetaldehyde;","C2H5NO","59.0371"
"45","C06748","Isopropylamine;","C3H9N","59.0735"
"46","C11489","NMF;","C2H5NO","59.0371"
"47","C17349","Guanidine;","CH5N3","59.0483"
"48","C07331","Carbonylsulfide","COS","59.967"
"49","C16459","Crystallinesilica;","SiO2","59.9668"
"50","C19572","Silica;","SiO2","59.9668"
"51","C00033","Acetate;","C2H4O2","60.0211"
"52","C00086","Urea;","CH4N2O","60.0324"
"53","C00266","Glycolaldehyde;","C2H4O2","60.0211"
"54","C01845","Propan-2-ol;","C3H8O","60.0575"
"55","C05979","Propane-1-ol;","C3H8O","60.0575"
"56","C19176","1,2-Dimethylhydrazine","C2H8N2","60.0687"
"57","C19233","1,1-Dimethylhydrazine","C2H8N2","60.0687"
"58","C19419","Ethylenesulfide;","C2H4S","60.0034"
"59","C19568","N-Nitrosomethanamine","CH4N2O","60.0324"
"60","C20306","Methyldiazohydroxide","CH4N2O","60.0324"
"61","C00288","HCO3-;","HCO3","60.9926"
"62","C17381","Dihydroxyaluminum","Al(OH)2","60.987"
"63","C00189","Ethanolamine;","C2H7NO","61.0528"
"64","C01563","Carbamate;","CH3NO2","61.0164"
"65","C19275","Nitromethane","CH3NO2","61.0164"
"66","C06793","Vinylchloride;","C2H3Cl","61.9923"
"67","C16845","Peroxynitrite","NO3","61.9878"
"68","C00580","Dimethylsulfide;","C2H6S","62.019"
"69","C01353","Carbonicacid;","H2CO3","62.0004"
"70","C01380","Ethyleneglycol;","C2H6O2","62.0368"
"71","C01818","Hyponitrite;","H2N2O2","62.0116"
"72","C12486","Boricacid","H3BO3","62.0175"
"73","C15488","Fluoroacetaldehyde","C2H3FO","62.0168"
"74","C15588","Glycol","C2H6O2","62.0368"
"75","C00070","Copper;","Cu","62.9296"
"76","C00244","Nitrate;","HNO3","62.9956"
"77","C00038","Zinccation;","Zn","63.9291"
"78","C09306","Sulfurdioxide","SO2","63.9619"
"79","C18248","Chloroethane;","C2H5Cl","64.008"
"80","C19547","Vinylidenefluoride;","C2H2F2","64.0125"
"81","C05339","Phosphinate;","H3PO2","65.9871"
"82","C18368","Chlorinedioxide;","ClO2","66.9587"
"83","C19907","Pyrrole","C4H5N","67.0422"
"84","C01486","Chlorousacid;","HClO2","67.9665"
"85","C19362","Chlorofluoromethane","CH2ClF","67.9829"
"86","C00481","Pyrazole;","C3H4N2","68.0374"
"87","C01589","Imidazole;","C3H4N2","68.0374"
"88","C06145","3-Butyn-1-al","C4H4O","68.0262"
"89","C14275","Furan","C4H4O","68.0262"
"90","C16521","Isoprene;","C5H8","68.0626"
"91","C02420","Isobutyronitrile","C4H7N","69.0578"
"92","C11598","Hydroxylaminehydrochloride","HCl.NH3O","68.9981"
"93","C15668","1-Pyrroline;","C4H7N","69.0578"
"94","C00804","Propynoate;","C3H2O2","70.0055"
"95","C05670","3-Aminopropiononitrile;","C3H6N2","70.0531"
"96","C05714","alpha-Aminopropiononitrile","C3H6N2","70.0531"
"97","C06146","3-Butyn-1-ol","C4H6O","70.0419"
"98","C17721","Vinylether","C4H6O","70.0419"
"99","C19377","Crotonaldehyde;","C4H6O","70.0419"
"100","C20701","But-3-en-2-one;","C4H6O","70.0419"
"101","C01659","Acrylamide;","C3H5NO","71.0371"
"102","C12244","3-Buten-1-amine","C4H9N","71.0735"
"103","C17392","Calciumsulfide","CaS","71.9347"
"104","C18566","Calciumperoxide","CaO2","71.9524"
"105","C00511","Acrylicacid;","C3H4O2","72.0211"
"106","C00546","Methylglyoxal;","C3H4O2","72.0211"
"107","C01412","Butanal;","C4H8O","72.0575"
"108","C02845","Methylethylketone;","C4H8O","72.0575"
"109","C19237","1,2-Epoxybutane;","C4H8O","72.0575"
"110","C19246","Glycidaldehyde;","C3H4O2","72.0211"
"111","C19297","Propiolactone;","C3H4O2","72.0211"
"112","C19440","Malonaldehyde;","C3H4O2","72.0211"
"113","C01888","Aminoacetone;","C3H7NO","73.0528"
"114","C01995","Acetoneoxime;","C3H7NO","73.0528"
"115","C02294","Methylguanidine","C2H7N3","73.064"
"116","C02787","2-Methylpropanamine;","C4H11N","73.0891"
"117","C03134","N,N-Dimethylformamide;","C3H7NO","73.0528"
